ranking,asin,tipo_producto,total_reviews
1,B001HBHNHE,Sports_and_Outdoors,1042
2,B00BGA9WK2,Video_Games,802
3,B001T7QJ9O,Sports_and_Outdoors,763
4,B0015AARJI,Video_Games,652
5,B000S5ODN2,Sports_and_Outdoors,647
6,B007CM0K86,Video_Games,517
7,B0010O748Q,Sports_and_Outdoors,513
8,B002VBWIP6,Video_Games,465
9,B0009VXBAQ,Video_Games,447
10,B0050SYX8W,Video_Games,441
11,B0000C50K3,Sports_and_Outdoors,427
12,B000B9RI14,Video_Games,425
13,B002ZYRV2E,Sports_and_Outdoors,401
14,B002OKWHVO,Sports_and_Outdoors,398
15,B000GCRWCG,Sports_and_Outdoors,393
16,B00178630A,Video_Games,379
17,B001HBHNHY,Sports_and_Outdoors,372
18,B007XVTR3K,Video_Games,365
19,B0035L35A8,Sports_and_Outdoors,359
20,B004U8CP88,Sports_and_Outdoors,357
21,B00005NZ1G,Video_Games,356
22,B001WJ577O,Sports_and_Outdoors,355
23,B004EQCCI4,Video_Games,355
24,B004HYK956,Video_Games,352
25,B004TNWD40,Sports_and_Outdoors,349
26,B00503E8S2,Video_Games,344
27,B006X9DLQM,Sports_and_Outdoors,344
28,B00178CS4K,Sports_and_Outdoors,343
29,B00CMQTVK0,Video_Games,343
30,B000UW21A0,Video_Games,333
31,B00005TNI6,Video_Games,329
32,B000FQ2D5E,Video_Games,325
33,B006QF3TW4,Sports_and_Outdoors,323
34,B003JVKHEQ,Video_Games,312
35,B003O6G5TW,Video_Games,312
36,B003NFI092,Sports_and_Outdoors,309
37,B004S8F7QM,Toys_and_Games,309
38,B00200E0HM,Sports_and_Outdoors,307
39,B001JKTC9A,Video_Games,306
40,B003ZSP0WW,Video_Games,303
41,B004FYEZMQ,Video_Games,303
42,B0050SXKU4,Video_Games,302
43,B001949TKS,Sports_and_Outdoors,298
44,B000FQ2DTA,Video_Games,295
45,B000JZ7JM8,Sports_and_Outdoors,293
46,B0029LJIFG,Video_Games,290
47,B004RMK4BC,Video_Games,289
48,B0009R96YK,Sports_and_Outdoors,288
49,B000ZK9QCS,Video_Games,282
50,B0018S4XIS,Sports_and_Outdoors,282
51,B000AO5L8W,Sports_and_Outdoors,279
52,B00BGA9YZK,Video_Games,278
53,B0000696CZ,Video_Games,274
54,B0007NFL18,Digital_Music,272
55,B000084T18,Digital_Music,271
56,B002BSA20M,Video_Games,268
57,B000FA1B9O,Sports_and_Outdoors,266
58,B004FS8LYK,Video_Games,262
59,B00BGA9X9W,Video_Games,259
60,B0026OOS60,Sports_and_Outdoors,258
61,B000OLXX86,Video_Games,257
62,B001BQZSZ4,Sports_and_Outdoors,256
63,B00005O0I2,Video_Games,255
