ReviewerID,total_reviews
A00046902LP5YSDV0VVNF,5
A00263941WP7WCIL7AKWL,6
A0029274J35Q1MYNKUWO,11
A004507634IQ8TNQ3YTUI,5
A005011233SVRED9Q0VY0,7
A005481137I9SCAWEF7ON,27
A00625243BI8W1SSZNLMD,8
A00676013IBZZQ3UYWK47,6
A00700212KB3K0MVESPIY,5
A00916831NKA63GSRONW,6
A0103849GBVWICKXD4T6,15
A01065372CU68QLNRVNPM,15
A0107455RVRPB9MY9CFV,10
A012468118FTQAINEI0OQ,6
A01588502N52TNG1BP7WG,6
A01685981QK9IX1Q16YZY,5
A01803182IUSFNIFF5984,5
A0182108CPDLPRCXQUZQ,8
A02055972N4JENAU622IQ,9
A021943320Y3C5B58IY79,9
A022875323P4KQ6WNFXF4,6
A023090719X7MTBCLM19B,6
A0266076X6KPZ6CCHGVS,9
A026961431MGW0616BRS3,6
A02752563I3MJ8X8ILTOC,7
A02758561DKGQBX8RL8O8,5
A02904661A62AP64S46MT,16
A02909442PFZD9KMXG00H,8
A0334855HN6E38CXWXZR,6
A034294113MZYOJ6UMXUM,7
A034597326Z83X79S50FI,7
A03488112VAORYVH8LHW4,8
A03504219SV9C1QM1OM2,5
A036147939NFPC389VLK,5
A03650172AY6UYG32TU70,7
A036513549TVB6QSFK04,5
A037357115LCU92V2R0YR,8
A0380485C177Q6QQNJIX,8
A03830731XTTK5JYIFYL,6
A038510724QUZG0K4HFMG,5
A03865792TAJESCMLUT0Q,6
A0387429WAPYLMI7N41V,9
A04295422T2ZG087R17FX,5
A04335242IW56SNLG1NCL,6
A04392581M9OB4PQFJ4ZM,7
A04673051X8PCSPHE4E79,25
A0473259F6GQNBD88IYN,5
A04833171REPITHO9UFT9,7
A04900652RNHFA4SL5VXM,7
A04904273OLXHXFW1AQK2,9
A049511737EMTVGTZXNKV,36
A04970252MNRWV2RKDKAL,18
A05026511FQMVPVJH3KP8,5
A05054573ECKO0N8PFJ78,5
A05496942WEOSVBIPWF78,8
A0551526AN90FRWIX3AN,5
A055760637EV7Z72T33OR,12
A05638902RUTI18VESIA4,6
A0568194OBVPX83FG8UU,15
A05720942NHLRE8CMI05R,8
A05829022JA8IHYVPY4F7,6
A058608498H4ON4LR346,5
A0589847ALBUUODWDTBR,7
A060131923OZAPX4NDRM8,15
A0607295133OZ2DIJW5P8,6
A0654491228OCL6EI65IE,6
A066010017AGU5GEHA7TJ,10
A0679288292UX0L5BVERG,9
A068510418E9CCS26O5GP,6
A07047842IR9Y89DH0UA1,7
A07259711M15V5YYZG2MV,5
A077706524I8SJY7S44Q6,5
A0815414IQ081GR6BB0I,5
A0815906MFVDTIFHGRQR,5
A08161909WK3HU7UYTMW,5
A08324222HTYZDE4L3F8Z,41
A08419242D7D5FVFEXGED,9
A0887921XF48L28U2RDZ,7
A09027871HUIYHTFHPJX6,6
A09540221MN9V7FUHXIE4,8
A09557243VFA5RMUZO6M1,14
A1002O7Q4BOWMM,5
A1002UBC6V258U,7
A10044ECXDUVKS,6
A1004703RC79J9,5
